Фамилия,Имя,Отчество,Дата рождения,Отдел
Иванов,Владимир,Петрович,23.01.1982,Технический
Петров,Иван,Андреевич,27.11.1999,Юридический
Сидоров,Сергей,Викторович,26.06.1976,Финансовый
Васильев,Родион,Анатольевич,05.11.1991,Административный
Александров,Василий,Сергеевич,29.10.1972,Юридический
Крюков,Петр,Петрович,31.08.1973,Финансовый
Борисов,Дмитрий,Николаевич,17.11.1971,Административный
Николаев,Данил,Алексеевич,27.06.1970,Технический
Буров,Семен,Григорьевич,14.08.1981,Технический
Румянцев,Владислав,Русланович,26.09.1989,Технический
